Branch,Description,Synonyms|Description,AutoMatches,ContainsMatch,StartsWithMatch,TokenOverlapMatch
Criminal Justice,Study of crime and criminal actions/behavior,-,Criminal justice | Study of institutions and processes of criminal justice.; Criminal justice | Study of public administration of criminal justice systems.,Criminal justice | Study of institutions and processes of criminal justice.; Criminal justice | Study of public administration of criminal justice systems.; Criminology/Criminal justice | Study of crime justice systems and social control.,Criminal justice | Study of institutions and processes of criminal justice.; Criminal justice | Study of public administration of criminal justice systems.,Criminal justice | Study of institutions and processes of criminal justice.; Criminal justice | Study of public administration of criminal justice systems.; Criminology/Criminal justice | Study of crime justice systems and social control.
Criminology,Study of crime and criminal actions/behavior,-,-,Anthropological criminology | Study of crime and deviance using anthropological methods.; Criminology/Criminal justice | Study of crime justice systems and social control.,Criminology/Criminal justice | Study of crime justice systems and social control.,-
Cryobiology,Study of effects of extreme low temperatures on life,-,Cryobiology | Study of low temperature effects on living systems.,Cryobiology | Study of low temperature effects on living systems.,Cryobiology | Study of low temperature effects on living systems.,-
Cryptography,Practice and study of secure communication techniques,-,Cryptography | Study of secure communication and encryption methods.; Cryptography | Study of encryption and secure communication.,Cryptography | Study of secure communication and encryption methods.; Cryptography | Study of encryption and secure communication.,Cryptography | Study of secure communication and encryption methods.; Cryptography | Study of encryption and secure communication.,-
Cynology,Study of canines or domestic dogs,-,Cynology | Study of dogs and canine biology.,Cynology | Study of dogs and canine biology.,Cynology | Study of dogs and canine biology.,-
Cytology,"Study of cells in terms of structure, function and chemistry",-,Cytology | Study of cells for diagnostic purposes.,Cytology | Study of cells for diagnostic purposes.,Cytology | Study of cells for diagnostic purposes.,-
Data science,"Field of study to extract knowledge from data – study of analyzing, processing, interpreting and extracting data.",-,Data science | Study of extracting insights from data using computation.,Data science | Study of extracting insights from data using computation.,Data science | Study of extracting insights from data using computation.,Data science | Study of extracting insights from data using computation.
Dentistry,"Medical specialty focused on oral health, diagnosis and treatment of teeth and related structures",-,Dentistry | Study of oral health and dental medicine.,Dentistry | Study of oral health and dental medicine.,Dentistry | Study of oral health and dental medicine.,-
Dialectology,Scientific study of linguistic dialect,-,-,-,-,-
Dioptrics,Science of light and lenses,-,-,-,-,-
Dynamics,Study of forces and their effect on motion,-,Dynamics | Study of motion and forces in physical systems.,Manosphere Schools of Gender Dynamics | Study of gender dynamics ideologies in the manosphere.; Computational fluid dynamics | Study of numerical simulation of fluid flow.; Aerodynamics | Study of motion of air and forces on objects.; Dynamics | Study of motion and forces in physical systems.; Analytical dynamics | Study of dynamics using analytical methods.; Brownian dynamics | Study of stochastic motion in fluids.; File dynamics | Study of dynamics of files or records in systems.; Flight dynamics | Study of vehicle motion in flight.; Fluid dynamics | Study of motion of fluids and gases.; Aerodynamics | Study of air flow and forces on bodies.; Hydrodynamics | Study of fluid motion in liquids.; Fractional dynamics | Study of dynamics using fractional calculus.; Geodynamics | Study of Earth's dynamic physical processes.; Molecular dynamics | Study of motion of molecules and interactions.; Newtonian dynamics | Study of motion under Newton's laws.; Langevin dynamics | Study of stochastic dynamics using Langevin equations.; Quantum chromodynamics | Study of strong interactions between quarks and gluons.; Quantum electrodynamics | Study of quantum theory of electromagnetism.; Relativistic dynamics | Study of dynamics at relativistic speeds.; System dynamics | Study of system behavior using dynamic models.; Thermodynamics | Study of heat energy and work in systems.; Vehicle dynamics | Study of motion and control of vehicles.; Thermodynamics | Study of thermal processes in engineering systems.; System dynamics | Study of dynamic behavior of complex systems.; Social dynamics | Study of social dynamics using system models.; Hydrodynamics | Study of fluid dynamics in astrophysical systems.; Magnetohydrodynamics | Study of magnetic fluids in astrophysical systems.; Astrodynamics | Study of spacecraft motion and orbital dynamics.; Stellar dynamics | Study of motion and interactions of stars.; Pharmacodynamics | Study of drug effects on the body.,Dynamics | Study of motion and forces in physical systems.,-
Dysgenics,Decrease in genetic traits deemed desirable and study thereof.,-,-,-,-,-
Ecology,Study of organisms and their environment,-,Ecology | Study of interactions between organisms and environments.; Ecology | Study of ecological systems and interactions.,Landscape ecology | Study of ecological processes across landscapes.; Fire ecology (Wildland fire management) | Study of wildfire management and fire ecology policy.; Human behavioral ecology | Study of human behavior in ecological and evolutionary contexts.; Human ecology | Study of humans and their environments as systems.; Systems ecology | Study of ecosystems using systems theory.; Ecosystem ecology | Study of ecosystem structure and function.; Ecology | Study of interactions between organisms and environments.; Agroecology | Study of ecological processes in agricultural systems.; Ethnoecology | Study of ecological knowledge in cultural contexts.; Human ecology | Study of humans in relation to ecosystems.; Myrmecology | Study of ants and ant societies.; Agroecology | Study of ecological processes in agriculture.; Gynaecology | Study of female reproductive health.; Paleoecology | Study of past ecosystems and environments.; Recreation ecology | Study of ecological impacts of recreation.; Ecology | Study of ecological systems and interactions.,Ecology | Study of interactions between organisms and environments.; Ecology | Study of ecological systems and interactions.,-
Economics,"Social science – study of material wealth (production, distribution, and consumption of goods and services).",-,Economics | Study of production distribution and consumption of resources.,Philosophy of economics | Study of philosophical foundations of economics.; Economics | Study of production distribution and consumption of resources.; Labor economics | Study of labor markets and employment outcomes.; Agricultural economics | Study of economics applied to agriculture and food production.; Anarchist economics | Study of economic theory from anarchist perspectives.; Applied economics | Study of applying economic theory to real world issues.; Behavioural economics | Study of economic decisions with psychological insights.; Bioeconomics | Study of economic activity in relation to biological resources.; Complexity economics | Study of economies as complex adaptive systems.; Computational economics | Study of economic modeling using computational methods.; Consumer economics | Study of household behavior and consumer decision making.; Development economics | Study of economic development and growth in nations.; Ecological economics | Study of economies within ecological and environmental limits.; Education economics | Study of economics of education systems and outcomes.; Energy economics | Study of energy markets and economic policy.; Entrepreneurial economics | Study of entrepreneurship from an economic perspective.; Environmental economics | Study of environmental issues using economic analysis.; Evolutionary economics | Study of economic change using evolutionary concepts.; Experimental economics | Study of economic behavior using experiments.; Feminist economics | Study of economics through feminist perspectives.; Family economics | Study of economic behavior within families and households.; Financial economics | Study of financial markets instruments and valuation.; Green economics | Study of economic approaches focused on sustainability.; Growth economics | Study of factors driving economic growth.; Information economics | Study of how information affects economic decisions.; Institutional economics | Study of economic roles of institutions and rules.; International economics | Study of trade and finance between countries.; Islamic economics | Study of economic principles within Islamic contexts.; JEL classification codes in searching for articles by fields in economics journals | Study of the JEL system for classifying economics research.; Labor economics | Study of labor markets wages and employment.; Health economics | Study of economics of healthcare and health outcomes.; Law and economics | Study of legal systems using economic analysis.; Macroeconomics | Study of aggregate economic behavior and policy.; Managerial economics | Study of applying economic analysis to business decisions.; Marxian economics | Study of economics based on Marxist theory.; Mathematical economics | Study of economics using mathematical models.; Microeconomics | Study of individual agents markets and prices.; Monetary economics | Study of money banking and monetary systems.; Neuroeconomics | Study of economic decision making using neuroscience.; Participatory economics | Study of participatory economic models and governance.; Public economics | Study of government roles in the economy.; Real estate economics | Study of real estate markets and property economics.; Resource economics | Study of economics of natural resources and extraction.; Socialist economics | Study of economic theory and systems in socialist models.; Socioeconomics | Study of social and economic factors together.; Transport economics | Study of economic aspects of transport systems.; Welfare economics | Study of economic efficiency equity and social welfare.; Economic sociology/Socioeconomics | Study of social and economic transformation processes.; Business economics | Study of economic analysis applied to business.; Computational economics | Study of economic modeling using computation.; Agricultural economics | Study of economic aspects of agriculture.,Economics | Study of production distribution and consumption of resources.,-
Economy,"Social science – study of material wealth (production, distribution, and consumption of goods and services).",-,-,Political economy | Study of interactions between politics and economics.; Digital economy | Study of economic activity driven by digital technologies.; Knowledge economy | Study of economies driven by knowledge and innovation.; Market economy | Study of economic systems based on market exchange.; Social economy | Study of economic activity with social goals.; Space-based economy | Study of economic systems based on space resources.,-,-
Edaphology,Science concerned with the influence of soils on living beings,-,Edaphology | Study of soils and their properties.,Edaphology | Study of soils and their properties.; Edaphology / Pedology or Soil science | Study of soils and soil formation processes.,Edaphology | Study of soils and their properties.; Edaphology / Pedology or Soil science | Study of soils and soil formation processes.,-
Education,"Science and art of teaching, learning processes and educational theory",-,Education | Study of teaching learning and educational systems.,Music education | Study of teaching and learning music.; Philosophy of education | Study of aims methods and ethics of education.; Religious education techniques | Study of methods for teaching religion and faith formation.; Education and training | Study of military education and training systems.; Education policy | Study of policies governing education systems and access.; Educational psychology | Study of learning and teaching processes.; Education economics | Study of economics of education systems and outcomes.; Educational sociology | Study of education systems and social inequality.; Sex education | Study of education about sexuality and relationships.; Sociology of education | Study of education systems and social inequality.; Education | Study of teaching learning and educational systems.; Comparative education | Study of education systems across countries.; Alternative education | Study of nontraditional educational approaches.; Early childhood education | Study of education for early childhood development.; Elementary education | Study of education in primary schooling.; Secondary education | Study of education at the secondary school level.; Higher education | Study of tertiary education systems and practices.; Agricultural education | Study of education in agriculture and food systems.; Art education | Study of teaching and learning in the arts.; Bilingual education | Study of education using two languages.; Chemistry education | Study of teaching and learning chemistry.; Counselor education | Study of training for counseling roles and practice.; Language education | Study of teaching and learning languages.; Legal education | Study of education and training in law.; Mathematics education | Study of teaching and learning mathematics.; Medical education | Study of training and education in medicine.; Military education and training | Study of education and training in military contexts.; Nursing education | Study of education and training in nursing.; Outdoor education | Study of education conducted in outdoor settings.; Peace education | Study of education for conflict resolution and peace.; Physical education/Sports coaching | Study of physical education and sports coaching.; Physics education | Study of teaching and learning physics.; Reading education | Study of teaching reading and literacy skills.; Religious education | Study of teaching religion and religious literacy.; Science education | Study of teaching and learning science.; Special education | Study of education for students with special needs.; Sociology of education | Study of education systems through sociological analysis.; Technology education | Study of teaching technology and engineering concepts.; Vocational education | Study of education for trades and technical careers.; Educational leadership | Study of leadership and administration in education.; Educational philosophy | Study of philosophical foundations of education.; Educational psychology | Study of learning processes and educational measurement.; Educational technology | Study of technologies used to support learning.; Distance education | Study of teaching and learning at a distance.; Consumer education | Study of consumer decision making and financial literacy.; Museum education | Study of educational programs in museums.; Distance education | Study of distance learning systems and delivery.; Physical education / Pedagogy | Study of teaching physical education and movement.,Education and training | Study of military education and training systems.; Education policy | Study of policies governing education systems and access.; Educational psychology | Study of learning and teaching processes.; Education economics | Study of economics of education systems and outcomes.; Educational sociology | Study of education systems and social inequality.; Education | Study of teaching learning and educational systems.; Educational leadership | Study of leadership and administration in education.; Educational philosophy | Study of philosophical foundations of education.; Educational psychology | Study of learning processes and educational measurement.; Educational technology | Study of technologies used to support learning.,-
Electrical Engineering,"Engineering branch dealing with electricity, electronics and electromagnetism",-,-,-,-,-
Electrochemistry,Branch of chemistry – study of relations between electricity and chemicals.,-,Electrochemistry | Study of chemical processes involving electricity.,Electrochemistry | Study of chemical processes involving electricity.,Electrochemistry | Study of chemical processes involving electricity.,-
Endocrinology,Branch of medicine pertaining to the endocrine system,-,Endocrinology | Study of hormones and endocrine systems.; Endocrinology | Study of endocrine glands and hormones.,Endocrinology | Study of hormones and endocrine systems.; Endocrinology | Study of endocrine glands and hormones.,Endocrinology | Study of hormones and endocrine systems.; Endocrinology | Study of endocrine glands and hormones.,-
Energetics,study of energy under transformation – study of energy under transformation within various fields.,-,-,-,-,-
Engineering studies,Academic field – study of engineering.,-,-,-,-,-
Entomology,Scientific study of insects,-,Entomology | Study of insects and insect biology.; Entomology | Study of insects in agricultural contexts.,Entomology | Study of insects and insect biology.; Forensic entomology | Study of insects in forensic investigations.; Entomology | Study of insects in agricultural contexts.,Entomology | Study of insects and insect biology.; Entomology | Study of insects in agricultural contexts.,-
Enzymology,Large biological molecule that acts as a catalyst – study of enzymes.,-,-,-,-,-
Epidemiology,Study of health and disease within a population,-,Epidemiology | Study of disease patterns and public health statistics.; Epidemiology | Study of disease patterns in populations.,Epidemiology | Study of disease patterns and public health statistics.; Dental hygiene and epidemiology | Study of oral health hygiene and dental epidemiology.; Epidemiology | Study of disease patterns in populations.,Epidemiology | Study of disease patterns and public health statistics.; Epidemiology | Study of disease patterns in populations.,-
Ethology,Scientific objective study of non-human animal behaviour – study of natural or biological character.,-,Ethology | Study of animal behavior.,Ethology | Study of animal behavior.; Neuroethology | Study of neural basis of animal behavior.,Ethology | Study of animal behavior.,-
Etymology,Study of the origin and evolution of words – study of origins of words.,-,Etymology | Study of the origins and historical development of words.,Etymology | Study of the origins and historical development of words.,Etymology | Study of the origins and historical development of words.,-
Evolutionary biology,Biological science investigating the origins and diversification of life through evolutionary processes,-,Evolutionary biology | Study of evolutionary processes in living organisms.,Evolutionary biology | Study of evolutionary processes in living organisms.,Evolutionary biology | Study of evolutionary processes in living organisms.,Evolutionary biology | Study of evolutionary processes in living organisms.
Exobiology,Science concerned with life in the universe – study of extraterrestrial life.,-,-,-,-,-
Fluid dynamics,Aspects of fluid mechanics involving fluid flow,-,Fluid dynamics | Study of motion of fluids and gases.,Computational fluid dynamics | Study of numerical simulation of fluid flow.; Fluid dynamics | Study of motion of fluids and gases.,Fluid dynamics | Study of motion of fluids and gases.,Computational fluid dynamics | Study of numerical simulation of fluid flow.; Fluid dynamics | Study of motion of fluids and gases.
Fluid mechanics,"Branch of physics concerned with the mechanics of fluids (liquids, gases, and plasmas) – study of fluids behaviour at rest and in motion.",-,Fluid mechanics | Study of forces and motion in fluids.; Fluid mechanics | Study of fluid flow in engineering systems.,Fluid mechanics | Study of forces and motion in fluids.; Fluid mechanics | Study of fluid flow in engineering systems.,Fluid mechanics | Study of forces and motion in fluids.; Fluid mechanics | Study of fluid flow in engineering systems.,Fluid mechanics | Study of forces and motion in fluids.; Fluid mechanics | Study of fluid flow in engineering systems.
Futurology,"Study of postulating possible, probable, and preferable futures",-,Futurology | Study of forecasting and exploring possible futures.,Futurology | Study of forecasting and exploring possible futures.,Futurology | Study of forecasting and exploring possible futures.,-
Gemmology,Science dealing with natural and artificial gemstone materials – study of gems and jewels,-,-,-,-,-
Gender Studies,Interdisciplinary field of study – study of gender,-,Gender studies | Study of gender identities relations and structures.,Gender studies | Study of gender identities relations and structures.,Gender studies | Study of gender identities relations and structures.,Gender studies | Study of gender identities relations and structures.
Genesiology,study of reproduction and heredity [citation needed],-,-,-,-,-
Geochemistry,Science that applies chemistry to analyze geological systems – study of chemistry of the Earth's crust,-,Geochemistry | Study of chemical processes of the Earth.; Geochemistry | Study of chemical composition of Earth materials.,Geochemistry | Study of chemical processes of the Earth.; Biogeochemistry | Study of chemical cycles of elements in biological and geological systems.; Geochemistry | Study of chemical composition of Earth materials.,Geochemistry | Study of chemical processes of the Earth.; Geochemistry | Study of chemical composition of Earth materials.,-
Geochronology,"Science of determining the age of rocks, sediments and fossils – study of measuring geological time",-,-,-,-,-
Geodesy,"Earth-science field that measures and models Earth’s shape, gravity field and rotation",-,Geodesy | Study of measuring and representing the Earth and its gravity.; Geodesy | Study of Earth's shape gravity and measurements.,Geodesy | Study of measuring and representing the Earth and its gravity.; Geodesy | Study of Earth's shape gravity and measurements.,Geodesy | Study of measuring and representing the Earth and its gravity.; Geodesy | Study of Earth's shape gravity and measurements.,-
Geomorphogeny,"study of the characteristics, origins, and development of land forms[citation needed]",-,-,-,-,-
Geomorphology,Scientific study of landforms – study of landforms and landform evolution,-,Geomorphology | Study of landforms and surface processes.,Geomorphology | Study of landforms and surface processes.,Geomorphology | Study of landforms and surface processes.,-
Geophysics,Earth-science discipline applying physical principles to study Earth’s interior and dynamic processes,-,Geophysics | Study of physical processes and properties of the Earth.; Geophysics | Study of physical processes of the Earth.,Geophysics | Study of physical processes and properties of the Earth.; Geophysics | Study of physical processes of the Earth.; Biogeophysics | Study of physical processes in biological and ecological systems.,Geophysics | Study of physical processes and properties of the Earth.; Geophysics | Study of physical processes of the Earth.,-
Geoponics,Science of cultivating the earth – study of agriculture,-,-,-,-,-
Geotechnics,Scientific study of earth materials in engineering problems – study of increasing habitability of the Earth,-,-,-,-,-
Geratology,"Study of the social, psychological and biological aspects of aging – study of decadence and decay",-,-,-,-,-
Gerontology,"Study of the social, psychological and biological aspects of aging",-,Gerontology | Study of aging and services for older adults.; Gerontology | Study of aging processes and lifespan.,Gerontology | Study of aging and services for older adults.; Gerontology | Study of aging processes and lifespan.,Gerontology | Study of aging and services for older adults.; Gerontology | Study of aging processes and lifespan.,-
Glass Science,"study, art and technology of glassy materials; glassware [citation needed][relevant?]",-,-,-,-,-
Gnotobiology,Organism with fully-known microorganisms – study of life in germ-free conditions,-,-,-,-,-
Graminology,Scientific study of the grasses,-,-,-,-,-
Graphology,Pseudoscientific analysis of handwriting – study of handwriting [relevant?],-,-,-,-,-
Gynaecology,Medical area for women's reproductive health – study of women's physiology,-,Gynaecology | Study of female reproductive health.,Gynaecology | Study of female reproductive health.,Gynaecology | Study of female reproductive health.,-
Gynecology,Medical area for women's reproductive health – study of women's physiology,-,-,-,-,-
Harmonics,Science of musical sounds,-,-,-,-,-
Heliology,Scientific study of the sun,-,-,-,-,-
Helioseismology,Study of the structure and dynamics of the Sun through its oscillation,-,Helioseismology | Study of solar oscillations and internal structure.,Helioseismology | Study of solar oscillations and internal structure.,Helioseismology | Study of solar oscillations and internal structure.,-
Hepatology,"Medical specialty – study of liver, gallbladder, biliary tree, and pancreas",-,Hepatology | Study of liver diseases and function.,Hepatology | Study of liver diseases and function.,Hepatology | Study of liver diseases and function.,-
Heraldry,"Historical study and design of coats of arms, armorial bearings and related symbolism",-,-,-,-,-
Heredity,Passing of traits to offspring from the species' parents or ancestor – study of passing of traits from parents to offspring [citation needed],-,-,-,-,-
Herpetology,Study of amphibians and reptiles,-,Herpetology | Study of reptiles and amphibians.,Herpetology | Study of reptiles and amphibians.,Herpetology | Study of reptiles and amphibians.,-
Hippology,Study of horses,-,-,-,-,-
History of science,"Examination of the development of scientific ideas, practices and institutions through time",-,-,Sociology of the history of science | Study of science history as a social process.,-,Sociology of the history of science | Study of science history as a social process.; History of library science | Study of the historical development of library science.; History of computer science | Study of the history of computer science as a field.
History of technology,Investigation of technological innovation and its social impacts across history,-,-,-,-,-
Horography,art of constructing sundials or clocks [citation needed],-,-,-,-,-
Horology,Art or science of measuring time – science of time measurement [citation needed],-,-,-,-,-
Hydrology,"Science of the movement, distribution, and quality of water on Earth – study of water resources",-,Hydrology | Study of water in agricultural systems.,Hydrology/Hydrography | Study of water distribution movement and properties.; Hydrology | Study of water in agricultural systems.; Hydrology / Limnology / Hydrogeology | Study of water systems surface and groundwater.,Hydrology/Hydrography | Study of water distribution movement and properties.; Hydrology | Study of water in agricultural systems.; Hydrology / Limnology / Hydrogeology | Study of water systems surface and groundwater.,-
Hygrometry,Study of gas-vapor mixtures – science of humidity[citation needed],-,-,-,-,-
Hygroscopy,Phenomenon of attracting and holding water molecules – study of humidity[citation needed],-,-,-,-,-
Ichthyology,Branch of zoology devoted to the study of fish,-,Ichthyology | Study of fish and fish biology.,Ichthyology | Study of fish and fish biology.,Ichthyology | Study of fish and fish biology.,-
Iconology,Method of interpretation in cultural history – study of icons; symbols [citation needed],-,-,-,-,-
Immunology,Branch of medicine studying the immune system,-,Immunology | Study of immune systems and responses.,Systems immunology | Study of immune system dynamics using systems methods.; Immunology | Study of immune systems and responses.; Clinical immunology | Study of immune system diagnostics in clinical settings.,Immunology | Study of immune systems and responses.,-
Information technology (IT),Computer-based technology,-,-,-,-,Information technology | Study of business applications of information technology.; Information systems and technology | Study of information systems and supporting technologies.; Information technology | Study of information technology in professional contexts.
Insectology,"Scientific study ofi insects, or relationships between insects and humans",-,-,-,-,-
Kalology,study of beauty [relevant?],-,-,-,-,-
Koniology,Study of atmospheric dust and its effects – study of atmospheric pollutants and dust,-,-,-,-,-
Lexicology,Linguistic discipline studying words – study of words and their meanings,-,Lexicology | Study of words and vocabulary structure.,Lexicology | Study of words and vocabulary structure.,Lexicology | Study of words and vocabulary structure.,-
Lexigraphy,Grapheme which represents a word or a morpheme – art of definition of words [relevant?],-,-,-,-,-
Limacology,The study of slugs,-,Limacology | Study of slugs and their biology.,Limacology | Study of slugs and their biology.,Limacology | Study of slugs and their biology.,-
Loxodromy,study of sailing along rhumb-lines[citation needed][relevant?],-,-,-,-,-
Malacology,Study of molluscs,-,Malacology | Study of mollusks and their biology.,Malacology | Study of mollusks and their biology.,Malacology | Study of mollusks and their biology.,-
Mammalogy,Study of mammals,-,Mammalogy | Study of mammals and mammalian biology.,Mammalogy | Study of mammals and mammalian biology.,Mammalogy | Study of mammals and mammalian biology.,-
Mastology,Study of mammals – study of mammals [citation needed],-,-,-,-,-
Mazology,mammalogy; study of mammals [citation needed],-,-,-,-,-
Mechanical Engineering,"Engineering branch concerned with the design, analysis and manufacture of mechanical systems",-,-,Biomechanical engineering | Study of mechanical systems in biological contexts.,-,-
Medical imaging,"Use of technologies (e.g. X-ray, MRI) to visualise internal body structures for clinical diagnosis",-,-,-,-,-
Medical treatment,"Applied health field investigating therapeutic methods for prevention, rehabilitation and cure",-,-,-,-,-
Melissopalynology,The study of pollen contained in honey,-,-,-,-,-
Mesology,Study of organisms and their environment – ecology [citation needed],-,-,-,-,-
Metallogeny,Study of the genesis and geographic distribution of mineral deposits – study of the origin and distribution of metal deposits,-,-,-,-,-
Metallurgy,Field of science that studies the physical and chemical behavior of metals,-,-,Physical Metallurgy | Study of physical properties and processing of metals.,-,-
Metascience,Scientific study of science,-,-,-,-,-
Meteoritics,"Scientific study of meteors, meteorites and meteoroids",-,-,-,-,-
Meteorology,Interdisciplinary scientific study of the atmosphere focusing on weather forecasting,-,Meteorology | Study of weather processes and atmospheric dynamics.,Meteorology | Study of weather processes and atmospheric dynamics.; Atmospheric science / Meteorology | Study of atmosphere weather and climate processes.,Meteorology | Study of weather processes and atmospheric dynamics.,-
Methodology,Study of research methods,-,-,Ethnomethodology | Study of everyday methods people use to create social order.; Response surface methodology | Study of response surfaces and optimization in experiments.; Survey methodology | Study of methods for designing and analyzing surveys.,-,-
Metrology,Science of measurement and its application,-,-,-,-,-
Microphytology,study of very small plant life [citation needed],-,-,-,-,-
Mineralogy,Scientific study of minerals and mineralised artifacts,-,Mineralogy | Study of minerals their properties and formation.,Mineralogy | Study of minerals their properties and formation.,Mineralogy | Study of minerals their properties and formation.,-
Molecular biology,Branch of biology that studies biological systems at the molecular level,-,Molecular biology | Study of biological processes at the molecular level.,Molecular biology | Study of biological processes at the molecular level.,Molecular biology | Study of biological processes at the molecular level.,Molecular biology | Study of biological processes at the molecular level.
Morphometrics,Quantitative study of size and shape – study of size and shape,-,-,-,-,-
Mountain research,Study of mountain environments,-,-,-,-,-
Muscology,Branch of botany concerned with the study of bryophytes – study of mosses,-,-,-,-,-
Museology,Study of museums[relevant?],-,Museology | Study of museums their roles and practices.,Ethnomuseology | Study of museums and material culture in cultural context.; Museology | Study of museums their roles and practices.,Museology | Study of museums their roles and practices.,-
Mycology,Branch of biology concerned with the study of fungi,-,Mycology | Study of fungi and fungal biology.,Mycology | Study of fungi and fungal biology.,Mycology | Study of fungi and fungal biology.,-
Nanotechnology,Technology with features near one nanometer[relevant?],-,Nanotechnology | Study of manipulating matter at nanoscale.; Nanotechnology | Study of engineering at the nanoscale.,Nanotechnology | Study of manipulating matter at nanoscale.; Nanotechnology | Study of engineering at the nanoscale.,Nanotechnology | Study of manipulating matter at nanoscale.; Nanotechnology | Study of engineering at the nanoscale.,-
Nautics,study and art of navigation[citation needed],-,-,Astronautics | Study of spaceflight and spacecraft systems.; Aeronautics | Study of flight within Earth's atmosphere.,-,-
Nematology,Scientific study of roundworms,-,Nematology | Study of nematodes and roundworms.,Nematology | Study of nematodes and roundworms.,Nematology | Study of nematodes and roundworms.,-
Neuroscience,"Scientific study of the nervous system – study of development, work and structure of nervous system",-,Neuroscience | Study of the nervous system and brain.,Computational neuroscience | Study of computational models of neural systems.; Systems neuroscience | Study of neural systems using systems approaches.; Neuroscience in space | Study of neural effects of space environments.; Neuroscience | Study of the nervous system and brain.; Behavioral neuroscience | Study of neural bases of behavior.,Neuroscience in space | Study of neural effects of space environments.; Neuroscience | Study of the nervous system and brain.,-
Nosology,Branch of medicine that deals with classification of diseases,-,-,-,-,-
Nutritional Science,Science of nutrition,-,-,-,-,-
Obstetrics,Medical specialty concerning pregnancy and childbirth,-,Obstetrics | Study of pregnancy childbirth and postpartum care.,Obstetrics | Study of pregnancy childbirth and postpartum care.,Obstetrics | Study of pregnancy childbirth and postpartum care.,-
Oceanography,"Study of physical, chemical, and biological processes in the ocean",-,Oceanography | Study of oceans and marine processes.,Oceanography | Study of oceans and marine processes.; Coastal geography / Oceanography | Study of coastal systems and ocean processes.,Oceanography | Study of oceans and marine processes.,-
Oceanology,Scientific study of the ocean,-,-,-,-,-
Oenology,Study of wine and winemaking,-,Oenology | Study of wine and winemaking science.,Oenology | Study of wine and winemaking science.,Oenology | Study of wine and winemaking science.,-
Oncology,"Branch of medicine dealing with, or specializing in, cancer",-,Oncology | Study of cancer diagnosis and treatment.,Oncology | Study of cancer diagnosis and treatment.,Oncology | Study of cancer diagnosis and treatment.,-
Onomasiology,Branch of linguistics concerned with how to express a given concept – study of nomenclature [citation needed],-,-,-,-,-
Ontology,Philosophical study of being – science of pure being; the nature of things [relevant?],-,Ontology | Study of what exists and categories of being.,Ontology | Study of what exists and categories of being.; Palaeontology | Study of ancient life through fossils.; Gerontology | Study of aging and services for older adults.; Gerontology | Study of aging processes and lifespan.; Paleontology | Study of fossils and extinct organisms.; Paleontology | Study of fossils and ancient life.,Ontology | Study of what exists and categories of being.,-
Ophthalmology,Field of medicine treating eye disorders,-,Ophthalmology | Study of eye diseases and vision care.,Ophthalmology | Study of eye diseases and vision care.; Neuro-ophthalmology | Study of neurological aspects of vision and eye movement.,Ophthalmology | Study of eye diseases and vision care.,-
Optology,study of sight [citation needed],-,-,-,-,-
Optometry,Field of medicine treating eye disorders – science of examining the eyes,-,Optometry | Study of vision correction and eye health.,Optometry | Study of vision correction and eye health.,Optometry | Study of vision correction and eye health.,-
Orbital mechanics,Field of classical mechanics concerned with the motion of spacecraft,-,Orbital mechanics | Study of orbits and spacecraft trajectories.,Orbital mechanics | Study of orbits and spacecraft trajectories.,Orbital mechanics | Study of orbits and spacecraft trajectories.,Orbital mechanics | Study of orbits and spacecraft trajectories.
Orchidology,Scientific study of orchids,-,-,-,-,-
Organology (music),"Science of musical instruments and their classifications (musicology) – study of musical instruments in relation to history, culture, construction, acoustic properties and classification",-,-,-,-,-
Ornithology,Study of birds,-,Ornithology | Study of birds and avian biology.,Ornithology | Study of birds and avian biology.,Ornithology | Study of birds and avian biology.,-
Orology,Study of mountain environments,-,-,Meteorology | Study of weather processes and atmospheric dynamics.; Atmospheric science / Meteorology | Study of atmosphere weather and climate processes.,-,-
Otology,Branch of medicine for the ear,-,-,-,-,-
Paidonosology,study of children's diseases; pediatrics[citation needed],-,-,-,-,-
Palaeontology,Study of life before the Holocene epoch,-,Palaeontology | Study of ancient life through fossils.,Palaeontology | Study of ancient life through fossils.,Palaeontology | Study of ancient life through fossils.,-
Palynology,Study of pollen and other acid-resistant microoscopic organic material,-,Palynology | Study of pollen and spores in archaeological contexts.,Palynology | Study of pollen and spores in archaeological contexts.,Palynology | Study of pollen and spores in archaeological contexts.,-
Parasitology,"Study of parasites, their hosts, and the relationship between them",-,Parasitology | Study of parasites and host interactions.; Parasitology | Study of parasites in clinical diagnostics.,Parasitology | Study of parasites and host interactions.; Parasitology | Study of parasites in clinical diagnostics.,Parasitology | Study of parasites and host interactions.; Parasitology | Study of parasites in clinical diagnostics.,-
